ID prvku;Délka celková (součet všech kusů);Počet kusů;Šířka průřezu ;Výška průřezu ;Poznámka;Objem
KR01;6,235;1;0,18;0,28;BSH vrcholová vaznice;0,314244
KR02;5,915;1;0,16;0,06;;0,056784
KR02;5,915;1;0,16;0,06;;0,056784
KR02;5,915;1;0,16;0,06;;0,056784
KR02;5,915;1;0,16;0,06;;0,056784
KR03;2,215;1;0,12;0,12;;0,031896
KR04;3,54;1;0,06;0,2;;
KR04;3,54;1;0,06;0,2;;
KR04;3,54;1;0,06;0,2;;
KR04;3,54;1;0,06;0,2;;
KR04;3,54;1;0,06;0,2;;
KR04;3,54;1;0,06;0,2;;
KR04;3,54;1;0,06;0,2;;
KR04;3,54;1;0,06;0,2;;
KR04;3,54;1;0,06;0,2;;
KR04;3,54;1;0,06;0,2;;
KR04;3,54;1;0,06;0,2;;
KR04;3,54;1;0,06;0,2;;
KR04;3,54;1;0,06;0,2;;
KR04;3,54;1;0,06;0,2;;
KR04;3,54;1;0,06;0,2;;
KR04;3,54;1;0,06;0,2;;
KR04;3,54;1;0,06;0,2;;
KR04;3,54;1;0,06;0,2;;
KVH 100/60;0,05;1;0,06;0,1;;0,0003
KVH 100/60;0,05;1;0,06;0,1;;0,0003
KVH 100/60;0,05;1;0,06;0,1;;0,0003
KVH 100/60;0,05;1;0,06;0,1;;0,0003
KVH 100/60;0,05;1;0,06;0,1;;0,0003
KVH 100/60;0,577;1;0,1;0,06;;0,003462
KVH 100/60;0,615;1;0,1;0,06;;0,00369
KVH 100/60;0,935;1;0,1;0,06;;0,00561
KVH 100/60;0,935;1;0,1;0,06;;0,00561
KVH 100/60;1,01;1;0,1;0,06;;0,00606
KVH 100/60;1,01;1;0,1;0,06;;0,00606
KVH 100/60;1,102;1;0,1;0,06;;0,006612
KVH 100/60;1,102;1;0,1;0,06;;0,006612
KVH 100/60;1,49;1;0,1;0,06;;0,00894
KVH 100/60;1,49;1;0,1;0,06;;0,00894
KVH 100/60;2,15;1;0,06;0,1;;0,0129
KVH 100/60;2,15;1;0,06;0,1;;0,0129
KVH 100/60;2,21;1;0,06;0,1;;0,01326
KVH 100/60;2,32;1;0,06;0,1;;0,01392
KVH 100/60;2,32;1;0,06;0,1;;0,01392
KVH 100/60;2,32;1;0,06;0,1;;0,01392
KVH 100/60;2,32;1;0,06;0,1;;0,01392
KVH 100/60;2,32;1;0,06;0,1;;0,01392
KVH 100/60;2,32;1;0,06;0,1;;0,01392
KVH 100/60;2,32;1;0,06;0,1;;0,01392
KVH 100/60;2,32;1;0,06;0,1;;0,01392
KVH 100/60;2,32;1;0,06;0,1;;0,01392
KVH 100/60;2,4;1;0,06;0,1;;0,0144
KVH 100/60;2,4;1;0,06;0,1;;0,0144
KVH 100/60;2,4;1;0,06;0,1;;0,0144
KVH 100/60;2,4;1;0,06;0,1;;0,0144
KVH 100/60;2,4;1;0,06;0,1;;0,0144
KVH 100/60;2,4;1;0,06;0,1;;0,0144
KVH 100/60;2,4;1;0,06;0,1;;0,0144
KVH 100/60;2,5;1;0,06;0,1;;0,015
KVH 100/60;2,5;1;0,06;0,1;;0,015
KVH 100/60;2,5;1;0,06;0,1;;0,015
KVH 100/60;2,5;1;0,06;0,1;;0,015
KVH 100/60;2,5;1;0,06;0,1;;0,015
KVH 100/60;2,5;1;0,06;0,1;;0,015
KVH 100/60;2,5;1;0,06;0,1;;0,015
KVH 100/60;2,5;1;0,06;0,1;;0,015
KVH 100/60;2,5;1;0,06;0,1;;0,015
KVH 100/60;2,5;1;0,06;0,1;;0,015
KVH 100/60;2,5;1;0,06;0,1;;0,015
KVH 100/60;2,5;1;0,06;0,1;;0,015
KVH 100/60;2,79;1;0,1;0,06;;0,01674
KVH 100/60;3,64;1;0,1;0,06;;0,02184
KVH 100/60;3,64;1;0,1;0,06;;0,02184
KVH 100/60;3,64;1;0,1;0,06;;0,02184
KVH 100/60;3,753;1;0,1;0,06;;0,022518
KVH 100/60;3,753;1;0,1;0,06;;0,022518
KVH 120/60;0,147;1;0,06;0,12;;0,0010584
KVH 120/60;0,147;1;0,06;0,12;;0,0010584
KVH 120/60;0,147;1;0,06;0,12;;0,0010584
KVH 120/60;0,147;1;0,06;0,12;;0,0010584
KVH 120/60;0,147;1;0,06;0,12;;0,0010584
KVH 120/60;0,147;1;0,06;0,12;;0,0010584
KVH 120/60;0,147;1;0,06;0,12;;0,0010584
KVH 120/60;0,147;1;0,06;0,12;;0,0010584
KVH 120/60;0,147;1;0,06;0,12;;0,0010584
KVH 120/60;0,147;1;0,06;0,12;;0,0010584
KVH 120/60;0,147;1;0,06;0,12;;0,0010584
KVH 120/60;0,147;1;0,06;0,12;;0,0010584
KVH 120/60;0,147;1;0,06;0,12;;0,0010584
KVH 120/60;0,147;1;0,06;0,12;;0,0010584
KVH 120/60;0,147;1;0,06;0,12;;0,0010584
KVH 120/60;0,147;1;0,06;0,12;;0,0010584
KVH 120/60;0,147;1;0,06;0,12;;0,0010584
KVH 120/60;0,147;1;0,06;0,12;;0,0010584
KVH 120/60;0,147;1;0,06;0,12;;0,0010584
KVH 120/60;0,147;1;0,06;0,12;;0,0010584
KVH 120/60;0,147;1;0,06;0,12;;0,0010584
KVH 120/60;0,147;1;0,06;0,12;;0,0010584
KVH 120/60;0,147;1;0,06;0,12;;0,0010584
KVH 120/60;0,147;1;0,06;0,12;;0,0010584
KVH 120/60;0,147;1;0,06;0,12;;0,0010584
KVH 120/60;0,147;1;0,06;0,12;;0,0010584
KVH 120/60;0,147;1;0,06;0,12;;0,0010584
KVH 120/60;0,19;1;0,06;0,12;;0,001368
KVH 120/60;0,19;1;0,06;0,12;;0,001368
KVH 120/60;0,39;1;0,12;0,06;;0,002808
KVH 120/60;0,56;1;0,06;0,12;;0,004032
KVH 120/60;0,56;1;0,06;0,12;;0,004032
KVH 120/60;0,56;1;0,06;0,12;;0,004032
KVH 120/60;0,56;1;0,06;0,12;;0,004032
KVH 120/60;0,82;1;0,12;0,06;;0,005904
KVH 120/60;0,82;1;0,12;0,06;;0,005904
KVH 120/60;1,3;1;0,12;0,06;;0,00936
KVH 120/60;1,42;1;0,12;0,06;;0,010224
KVH 120/60;1,42;1;0,12;0,06;;0,010224
KVH 120/60;1,68;1;0,06;0,12;;0,012096
KVH 120/60;1,68;1;0,06;0,12;;0,012096
KVH 120/60;1,88;1;0,06;0,12;;0,013536
KVH 120/60;1,88;1;0,06;0,12;;0,013536
KVH 120/60;1,94;1;0,06;0,12;;0,013968
KVH 120/60;1,94;1;0,06;0,12;;0,013968
KVH 120/60;1,95;1;0,12;0,06;;0,01404
KVH 120/60;2;1;0,12;0,06;;0,0144
KVH 120/60;2,001;1;0,12;0,06;;0,0144072
KVH 120/60;2,001;1;0,12;0,06;;0,0144072
KVH 120/60;2,001;1;0,12;0,06;;0,0144072
KVH 120/60;2,04;1;0,06;0,12;;0,014688
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,06;0,12;;0,014832
KVH 120/60;2,06;1;0,16;0,18;;0,059328
KVH 120/60;3,04;1;0,12;0,06;;0,021888
KVH 120/60;3,04;1;0,12;0,06;;0,021888
KVH 120/60;3,04;1;0,12;0,06;;0,021888
KVH 120/60;3,86;1;0,12;0,06;;0,027792
KVH 120/60;3,86;1;0,12;0,06;;0,027792
KVH 120/60;3,969;1;0,12;0,06;;0,0285768
KVH 120/60;3,969;1;0,12;0,06;;0,0285768
KVH 120/60;6,235;1;0,12;0,06;;0,044892
KVH 120/60;6,235;1;0,12;0,06;;0,044892
KVH 160/60;0,085;1;0,06;0,16;;0,000816
KVH 160/60;0,085;1;0,06;0,16;;0,000816
KVH 160/60;0,085;1;0,06;0,16;;0,000816
KVH 160/60;0,085;1;0,06;0,16;;0,000816
KVH 160/60;0,12;1;0,06;0,16;;0,001152
KVH 160/60;0,12;1;0,06;0,16;;0,001152
KVH 160/60;0,12;1;0,06;0,16;;0,001152
KVH 160/60;0,12;1;0,06;0,16;;0,001152
KVH 160/60;0,12;1;0,06;0,16;;0,001152
KVH 160/60;0,187;1;0,06;0,16;;0,0017952
KVH 160/60;0,187;1;0,06;0,16;;0,0017952
